Date,High,Low,Open,Close,Volume,Adj Close
2015-05-11,0.6368129849433899,0.5494509935379028,0.6368129849433899,0.5494509935379028,245700.0,0.5494509935379028
2015-05-12,0.549560010433197,0.5384619832038879,0.549560010433197,0.5489010214805603,200200.0,0.5489010214805603
2015-05-13,0.5384619832038879,0.5384619832038879,0.5384619832038879,0.5384619832038879,27300.0,0.5384619832038879
2015-05-14,0.5384619832038879,0.48351600766181946,0.5384619832038879,0.49450498819351196,1810900.0,0.49450498819351196
2015-05-15,0.49450498819351196,0.4175820052623749,0.49450498819351196,0.4175820052623749,209300.0,0.4175820052623749
2015-05-18,0.4175820052623749,0.2983520030975342,0.4175820052623749,0.2983520030975342,455000.0,0.2983520030975342
2015-05-19,0.32417601346969604,0.30659300088882446,0.3076919913291931,0.318681001663208,391300.0,0.318681001663208
2015-05-20,0.3543959856033325,0.3214290142059326,0.32417601346969604,0.34615400433540344,445900.0,0.34615400433540344
2015-05-21,0.3516480028629303,0.33516499400138855,0.3406589925289154,0.3516480028629303,263900.0,0.3516480028629303
2015-05-22,0.36373600363731384,0.35054901242256165,0.3516480028629303,0.35054901242256165,455000.0,0.35054901242256165
2015-05-26,0.3516480028629303,0.3507690131664276,0.3507690131664276,0.3516480028629303,100100.0,0.3516480028629303
2015-05-27,0.3462640047073364,0.3357140123844147,0.3462640047073364,0.3357140123844147,36400.0,0.3357140123844147
2015-05-28,0.3626370131969452,0.33516499400138855,0.3357140123844147,0.3626370131969452,100100.0,0.3626370131969452
2015-05-29,0.3626370131969452,0.35109901428222656,0.35109901428222656,0.3626370131969452,45500.0,0.3626370131969452
2015-06-01,0.3626370131969452,0.3368130028247833,0.3626370131969452,0.3368130028247833,91000.0,0.3368130028247833
2015-06-02,0.3368130028247833,0.3134070038795471,0.3368130028247833,0.3203299939632416,127400.0,0.3203299939632416
2015-06-03,0.3296700119972229,0.318681001663208,0.3296700119972229,0.318681001663208,36400.0,0.318681001663208
2015-06-04,0.3214290142059326,0.3208790123462677,0.3214290142059326,0.3208790123462677,172900.0,0.3208790123462677
2015-06-05,0.3214290142059326,0.3208790123462677,0.3214290142059326,0.3208790123462677,81900.0,0.3208790123462677
2015-06-08,0.32417601346969604,0.318681001663208,0.32417601346969604,0.3214290142059326,127400.0,0.3214290142059326
2015-06-09,0.3203299939632416,0.31318700313568115,0.3203299939632416,0.318681001663208,63700.0,0.318681001663208
2015-06-10,0.32417601346969604,0.31977999210357666,0.31977999210357666,0.3214290142059326,72800.0,0.3214290142059326
2015-06-11,0.3214290142059326,0.318791002035141,0.3214290142059326,0.3203299939632416,118300.0,0.3203299939632416
2015-06-12,0.318791002035141,0.31769201159477234,0.318791002035141,0.3180220127105713,109200.0,0.3180220127105713
2015-06-15,0.31977999210357666,0.3181320130825043,0.31977999210357666,0.318681001663208,109200.0,0.318681001663208
2015-06-16,0.31977999210357666,0.31318700313568115,0.31917598843574524,0.318681001663208,436800.0,0.318681001663208
2015-06-17,0.3296700119972229,0.318681001663208,0.31977999210357666,0.318681001663208,1920100.0,0.318681001663208
2015-06-18,0.3203299939632416,0.31703299283981323,0.3203299939632416,0.318681001663208,154700.0,0.318681001663208
2015-06-19,0.318681001663208,0.3142859935760498,0.318681001663208,0.314505010843277,163800.0,0.314505010843277
2015-06-22,0.31758201122283936,0.3137359917163849,0.31758201122283936,0.3137359917163849,209300.0,0.3137359917163849
2015-06-23,0.3142859935760498,0.3076919913291931,0.3142859935760498,0.3076919913291931,218400.0,0.3076919913291931
2015-06-24,0.318571001291275,0.3112089931964874,0.318571001291275,0.31318700313568115,182000.0,0.31318700313568115
2015-06-25,0.31318700313568115,0.31318700313568115,0.31318700313568115,0.31318700313568115,18200.0,0.31318700313568115
2015-06-26,0.318681001663208,0.318681001663208,0.318681001663208,0.318681001663208,273000.0,0.318681001663208
2015-06-29,0.3291209936141968,0.318681001663208,0.3291209936141968,0.3196699917316437,2065700.0,0.3196699917316437
2015-06-30,0.33516499400138855,0.323076993227005,0.32417601346969604,0.3309890031814575,218400.0,0.3309890031814575
2015-07-01,0.33516499400138855,0.32208800315856934,0.3297800123691559,0.333516001701355,318500.0,0.333516001701355
2015-07-02,0.3340660035610199,0.333516001701355,0.333516001701355,0.333516001701355,209300.0,0.333516001701355
2015-07-06,0.3362640142440796,0.33076900243759155,0.3362640142440796,0.33516499400138855,436800.0,0.33516499400138855
2015-07-07,0.3362640142440796,0.323186993598938,0.3362640142440796,0.33516499400138855,564200.0,0.33516499400138855
2015-07-08,0.3362640142440796,0.33516499400138855,0.3362640142440796,0.3362640142440796,673400.0,0.3362640142440796
2015-07-09,0.3516480028629303,0.33461499214172363,0.3362640142440796,0.33461499214172363,555100.0,0.33461499214172363
2015-07-10,0.337911993265152,0.33527499437332153,0.3362640142440796,0.3362640142440796,2457000.0,0.3362640142440796
2015-07-13,0.3362640142440796,0.3332970142364502,0.3362640142440796,0.3332970142364502,518700.0,0.3332970142364502
2015-07-14,0.3362640142440796,0.33461499214172363,0.3362640142440796,0.33516499400138855,864500.0,0.33516499400138855
2015-07-15,0.3362640142440796,0.3349449932575226,0.33527499437332153,0.33516499400138855,1310400.0,0.33516499400138855
2015-07-16,0.33516499400138855,0.323186993598938,0.3349449932575226,0.33516499400138855,482300.0,0.33516499400138855
2015-07-17,0.33516499400138855,0.33461499214172363,0.33516499400138855,0.33461499214172363,282100.0,0.33461499214172363
2015-07-20,0.33296701312065125,0.33076900243759155,0.33076900243759155,0.33087900280952454,300300.0,0.33087900280952454
2015-07-21,0.3362640142440796,0.3340660035610199,0.3362640142440796,0.3340660035610199,491400.0,0.3340660035610199
2015-07-22,0.33516499400138855,0.33142900466918945,0.3340660035610199,0.33516499400138855,318500.0,0.33516499400138855
2015-07-23,0.3362640142440796,0.33516499400138855,0.3362640142440796,0.33516499400138855,91000.0,0.33516499400138855
2015-07-24,0.3362640142440796,0.3318679928779602,0.3362640142440796,0.3357140123844147,127400.0,0.3357140123844147
2015-07-27,0.3362640142440796,0.33516499400138855,0.3362640142440796,0.33516499400138855,464100.0,0.33516499400138855
2015-07-28,0.3357140123844147,0.3348349928855896,0.3357140123844147,0.3357140123844147,354900.0,0.3357140123844147
2015-07-29,0.3362640142440796,0.3340660035610199,0.3357140123844147,0.33461499214172363,618800.0,0.33461499214172363
2015-07-30,0.33516499400138855,0.33516499400138855,0.33516499400138855,0.33516499400138855,27300.0,0.33516499400138855
2015-07-31,0.33131900429725647,0.33131900429725647,0.33131900429725647,0.33131900429725647,18200.0,0.33131900429725647
2015-08-03,0.33516499400138855,0.33076900243759155,0.33516499400138855,0.33076900243759155,109200.0,0.33076900243759155
2015-08-04,0.33076900243759155,0.3296700119972229,0.33076900243759155,0.3296700119972229,54600.0,0.3296700119972229
2015-08-05,0.3296700119972229,0.323186993598938,0.3296700119972229,0.323186993598938,63700.0,0.323186993598938
2015-08-06,0.33296701312065125,0.33296701312065125,0.33296701312065125,0.33296701312065125,118300.0,0.33296701312065125
2015-08-07,0.3340660035610199,0.323186993598938,0.3340660035610199,0.32868099212646484,118300.0,0.32868099212646484
2015-08-10,0.32868099212646484,0.32868099212646484,0.32868099212646484,0.32868099212646484,9100.0,0.32868099212646484
2015-08-11,0.33505499362945557,0.3217029869556427,0.3217029869556427,0.33461499214172363,72800.0,0.33461499214172363
2015-08-12,0.33505499362945557,0.32428601384162903,0.33505499362945557,0.32428601384162903,91000.0,0.32428601384162903
2015-08-13,0.33516499400138855,0.3302200138568878,0.33461499214172363,0.3340660035610199,100100.0,0.3340660035610199
2015-08-14,0.3340660035610199,0.3296700119972229,0.3296700119972229,0.3296700119972229,91000.0,0.3296700119972229
2015-08-17,0.3296700119972229,0.32417601346969604,0.3281320035457611,0.32417601346969604,81900.0,0.32417601346969604
2015-08-18,0.32417601346969604,0.3225269913673401,0.32417601346969604,0.323076993227005,145600.0,0.323076993227005
2015-08-19,0.32637399435043335,0.318681001663208,0.318681001663208,0.323076993227005,536900.0,0.323076993227005
2015-08-20,0.32637399435043335,0.318681001663208,0.32637399435043335,0.318681001663208,218400.0,0.318681001663208
2015-08-21,0.318681001663208,0.27802199125289917,0.318681001663208,0.2967030107975006,273000.0,0.2967030107975006
2015-08-24,0.2967030107975006,0.2331870049238205,0.2967030107975006,0.2637360095977783,318500.0,0.2637360095977783
2015-08-25,0.28022000193595886,0.2637360095977783,0.2747249901294708,0.2637360095977783,182000.0,0.2637360095977783
2015-08-26,0.26923099160194397,0.25406599044799805,0.2637360095977783,0.25406599044799805,100100.0,0.25406599044799805
2015-08-27,0.2609890103340149,0.2587909996509552,0.2609890103340149,0.2608790099620819,145600.0,0.2608790099620819
2015-08-28,0.2747249901294708,0.2609890103340149,0.2609890103340149,0.27461498975753784,172900.0,0.27461498975753784
2015-08-31,0.2857140004634857,0.2857140004634857,0.2857140004634857,0.2857140004634857,145600.0,0.2857140004634857
2015-09-01,0.2967030107975006,0.2857140004634857,0.2884620130062103,0.2857140004634857,172900.0,0.2857140004634857
2015-09-02,0.30219799280166626,0.2857140004634857,0.2857140004634857,0.30219799280166626,54600.0,0.30219799280166626
2015-09-03,0.3181320130825043,0.2857140004634857,0.31318700313568115,0.3159340023994446,154700.0,0.3159340023994446
